iter	Passed	Remaining
573	9137	6781
574	9151	6763
575	9172	6751
576	9185	6733
577	9198	6716
578	9212	6698
579	9226	6681
580	9254	6674
581	9269	6657
582	9288	6643
583	9301	6625
584	9316	6609
585	9330	6591
586	9343	6573
587	9358	6557
588	9375	6542
589	9389	6525
590	9403	6507
591	9415	6489
592	9427	6470
593	9444	6455
594	9457	6437
595	9470	6419
596	9483	6401
597	9495	6383
598	9513	6368
599	9526	6350
600	9539	6333
601	9553	6315
602	9567	6299
603	9583	6283
604	9602	6269
605	9621	6255
606	9637	6240
607	9659	6227
608	9676	6212
609	9695	6198
610	9707	6180
611	9727	6167
612	9740	6149
613	9753	6131
614	9766	6113
615	9779	6096
616	9797	6081
617	9819	6069
618	9835	6053
619	9851	6038
620	9869	6023
621	9882	6005
622	9895	5988
623	9909	5971
624	9922	5953
625	9941	5939
626	9959	5924
627	9971	5906
628	9988	5891
629	10004	5875
630	10024	5862
631	10041	5846
632	10055	5830
633	10070	5813
634	10091	5800
635	10105	5783
636	10120	5767
637	10134	5750
638	10151	5735
639	10168	5719
640	10185	5704
641	10202	5689
642	10224	5676
643	10238	5659
644	10252	5642
645	10271	5628
646	10288	5613
647	10304	5597
648	10318	5580
649	10337	5566
650	10351	5549
651	10364	5531
652	10384	5518
653	10398	5501
654	10419	5488
655	10435	5472
656	10449	5455
657	10471	5442
658	10484	5425
659	10497	5407
660	10515	5392
661	10528	5375
662	10541	5358
663	10555	5341
664	10568	5324
665	10581	5306
666	10597	5290
667	10610	5273
668	10622	5255
669	10638	5239
670	10651	5222
671	10668	5207
672	10688	5193
673	10705	5178
674	10721	5162
675	10736	5145
676	10750	5129
677	10764	5112
678	10777	5094
679	10792	5078
680	10806	5061
681	10824	5047
682	10838	5030
683	10856	5015
684	10872	4999
685	10894	4986
686	10907	4969
687	10922	4953
688	10935	4935
689	10951	4920
690	10966	4904
691	10986	4889
692	10999	4872
693	11013	4855
694	11027	4839
695	11041	4822
696	11058	4807
697	11074	4791
698	11092	4776
699	11115	4763
700	11131	4747
701	11150	4733
702	11166	4717
703	11182	4701
704	11196	4684
705	11211	4668
706	11225	4652
707	11239	4635
708	11256	4619
709	11271	4603
710	11284	4586
711	11300	4570
712	11320	4556
713	11334	4540
714	11351	4524
715	11365	4508
716	11380	4491
717	11398	4476
718	11413	4460
719	11426	4443
720	11439	4426
721	11453	4410
722	11468	4393
723	11484	4378
724	11508	4365
725	11532	4352
726	11546	4335
727	11563	4320
728	11577	4303
729	11591	4287
730	11604	4270
731	11617	4253
732	11630	4236
733	11649	4221
734	11669	4207
735	11687	4192
736	11704	4176
737	11720	4160
738	11735	4144
739	11751	4128
740	11765	4112
741	11780	4096
742	11793	4079
743	11811	4064
744	11824	4047
745	11837	4030
746	11856	4015
747	11871	3999
748	11886	3983
749	11902	3967
750	11918	3951
751	11934	3935
752	11951	3920
753	11968	3904
754	11983	3888
755	11999	3872
756	12012	3856
757	12027	3839
758	12042	3823
759	12056	3807
760	12069	3790
761	12091	3776
762	12108	3760
763	12123	3744
764	12137	3728
765	12159	3714
766	12174	3698
767	12190	3682
768	12203	3665
769	12216	3649
770	12234	3633
771	12248	3617
772	12262	3601
773	12276	3584
774	12294	3569
775	12308	3553
776	12329	3538
777	12346	3522
778	12361	3506
779	12380	3491
780	12394	3475
781	12413	3460
782	12431	3445
783	12445	3428
784	12458	3412
785	12472	3395
786	12485	3379
787	12496	3362
788	12514	3346
789	12527	3329
790	12545	3314
791	12562	3299
792	12578	3283
793	12594	3267
794	12608	3251
795	12623	3235
796	12637	3218
797	12651	3202
798	12665	3186
799	12678	3169
800	12696	3154
801	12713	3138
802	12726	3122
803	12739	3105
804	12753	3089
805	12766	3072
806	12781	3056
807	12796	3040
808	12818	3026
809	12848	3013
810	12861	2997
811	12875	2980
812	12891	2965
813	12907	2949
814	12922	2933
815	12936	2917
816	12951	2900
817	12964	2884
818	12981	2868
819	12995	2852
820	13010	2836
821	13027	2820
822	13043	2805
823	13059	2789
824	13077	2774
825	13091	2757
826	13106	2741
827	13121	2725
828	13138	2710
829	13157	2694
830	13170	2678
831	13188	2663
832	13203	2647
833	13218	2630
834	13237	2615
835	13251	2599
836	13266	2583
837	13284	2568
838	13300	2552
839	13320	2537
840	13335	2521
841	13351	2505
842	13365	2489
843	13380	2473
844	13395	2457
845	13413	2441
846	13426	2425
847	13442	2409
848	13460	2393
849	13478	2378
850	13494	2362
851	13512	2347
852	13530	2331
853	13544	2315
854	13558	2299
855	13572	2283
856	13586	2267
857	13606	2251
858	13622	2236
859	13638	2220
860	13658	2204
861	13680	2190
862	13704	2175
863	13720	2159
864	13736	2143
865	13753	2128
866	13766	2111
867	13782	2095
868	13795	2079
869	13810	2063
870	13824	2047
871	13846	2032
872	13862	2016
873	13878	2000
874	13895	1985
875	13911	1969
876	13927	1953
877	13944	1937
878	13959	1921
879	13977	1906
880	13995	1890
881	14014	1875
882	14028	1858
883	14041	1842
884	14058	1826
885	14074	1810
886	14090	1795
887	14113	1780
888	14141	1765
889	14159	1750
890	14176	1734
891	14191	1718
892	14205	1702
893	14219	1685
894	14234	1670
895	14250	1654
896	14265	1638
897	14279	1621
898	14294	1605
899	14307	1589
900	14321	1573
901	14335	1557
902	14349	1541
903	14364	1525
904	14380	1509
905	14394	1493
906	14410	1477
907	14428	1461
908	14448	1446
909	14464	1430
910	14484	1415
911	14503	1399
912	14519	1383
913	14534	1367
914	14549	1351
915	14566	1335
916	14580	1319
917	14597	1303
918	14613	1288
919	14636	1272
920	14653	1256
921	14673	1241
922	14689	1225
923	14703	1209
924	14718	1193
925	14738	1177
926	14751	1161
927	14765	1145
928	14779	1129
929	14796	1113
930	14815	1098
931	14830	1082
932	14845	1066
933	14858	1049
934	14873	1033
935	14887	1017
936	14899	1001
937	14913	985
938	14934	970
939	14948	954
940	14963	938
941	14976	922
942	14995	906
943	15008	890
944	15022	874
945	15038	858
946	15063	843
947	15090	827
948	15107	811
949	15122	795
950	15137	779
951	15150	763
952	15164	747
953	15177	731
954	15192	715
955	15205	699
956	15219	683
957	15242	668
958	15257	652
959	15271	636
960	15287	620
961	15302	604
962	15333	589
963	15348	573
964	15361	557
965	15376	541
966	15396	525
967	15410	509
968	15423	493
969	15437	477
970	15450	461
971	15463	445
972	15476	429
973	15493	413
974	15507	397
975	15521	381
976	15535	365
977	15548	349
978	15562	333
979	15576	317
980	15590	301
981	15612	286
982	15628	270
983	15643	254
984	15657	238
985	15673	222
986	15687	206
987	15706	190
988	15720	174
989	15734	158
990	15748	143
991	15761	127
992	15777	111
993	15795	95
994	15817	79
995	15833	63
996	15850	47
997	15865	31
998	15880	15
999	15894	0
